Player,weighted_pred,scaled_pred,adj_overall,total_min,adj_scaled,pred_scaled,pred_scaled_int
Pablo Fornals,79.75480631724083,0.5240307778315801,79,2795,0.00808002318462564,0.01910646530308302,0.02620153889157901
Aaron Cresswell,80.11421297702616,0.6597535600189817,79,2726,0.00808002318462564,0.024356787989301854,0.03298767800094908
Craig Dawson,78.07849537591498,-0.10899473400457688,77,2754,-0.021136590048723924,-0.005381598912691965,-0.005449736700228844
Saïd Benrahma,78.4471655447062,0.03022622825508179,77,2168,-0.021136590048723924,4.0479534313409005e-6,0.0015113114127540896
Vladimír Coufal,75.2140281373098,-1.1907038579823548,80,2209,0.022688329801300533,-0.047226614627656316,-0.05953519289911774
Manuel Lanzini,79.26196509828141,0.3379190862625982,77,1786,-0.021136590048723924,0.011906889663187759,0.01689595431312991
Ben Johnson,75.47819042130722,-1.0909482214158983,68,1397,-0.1526113495987973,-0.04336765098646089,-0.054547411070794916
Angelo Ogbonna,76.52150640689446,-0.6969606744153166,80,921,0.022688329801300533,-0.02812657117092421,-0.03484803372076583
Issa Diop,75.51681400823416,-1.0763627914216038,77,963,-0.021136590048723924,-0.04280342578599616,-0.05381813957108019
Arthur Masuaku,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Nikola Vlašić,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Mark Noble,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ryan Fredericks,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Andriy Yarmolenko,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alphonse Areola,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Harrison Ashby,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Sonny Perkins,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Daniel Chesters,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alex Král,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Ajibola Alese,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Jamal Baptiste,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Conor Coventry,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Pierre Ekwah Elimby,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Armstrong Okoflex,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Darren Randolph,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Kasper Schmeichel,83.10702244386994,1.7899285758059906,85,3330,0.09572986288467455,0.06807666632624287,0.08949642879029954
